Player,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %,BBE,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Launch Angle Sweet-Spot %,Pitches,Batted Balls,Barrels,Barrel %,Hard Hit %,Exit Velocity,Launch Angle,XBA,XSLG,XWOBA,XWOBACON,,Hit_Score,Walk_Score,Bats_Score,Bases_Score
"Kjerstad, Heston",47.3,78.5,82.2,35.0,42.3,42.6,45.5,55.6,31.1,6.6,85.7,66,45.5,28.8,21.2,4.5,28.8,40.9,30.3,4.5,31.8,25.8,24.2,7.6,28.8,423,66,4,6.1,43.9,90.2,10.3,0.214,0.349,0.295,0.362,,0.341,-0.238,-0.237,0.192
"Slater, Austin",51.2,66.2,73.9,18.6,51.2,39.1,34.9,43.0,29.8,7.3,82.8,121,52.1,15.7,30.6,1.7,29.8,35.5,34.7,7.4,33.1,15.7,33.9,6.6,37.2,882,121,4,3.3,37.2,88.2,7.2,0.232,0.319,0.303,0.353,,-2.056,-0.235,-0.235,-3.306
"Urías, Ramón",49.1,74.2,79.5,25.8,55.6,38.9,40.5,49.6,26.8,8.9,84.3,218,43.6,27.5,20.6,8.3,32.1,41.7,26.1,3.2,29.8,28.0,24.8,5.5,32.6,1150,218,19,8.7,38.5,88.3,12.8,0.248,0.429,0.328,0.363,,-0.486,-0.232,-0.232,0.554
"Mullins, Cedric",51.5,73.3,84.3,28.1,62.5,43.6,36.7,51.4,19.1,8.4,82.2,350,35.1,28.0,23.1,13.7,42.3,34.6,23.1,6.3,26.0,36.0,21.4,5.4,31.7,1938,350,17,4.9,33.4,87.1,21.5,0.227,0.355,0.291,0.32,,-2.226,-0.227,-0.227,-2.279
"McCann, James",51.5,69.6,81.5,33.4,50.0,43.7,28.8,52.1,27.6,7.2,76.2,162,38.9,29.0,25.9,5.6,33.3,36.4,29.6,5.6,29.6,24.7,21.0,9.3,38.9,875,162,14,8.6,37.7,87.4,14.4,0.245,0.418,0.313,0.387,,-0.527,-0.234,-0.234,0.532
"Holliday, Jackson",49.3,65.6,75.3,27.2,42.1,44.9,33.2,46.1,34.1,7.3,80.0,122,56.6,27.0,13.9,2.5,38.5,36.1,25.4,6.6,34.4,18.9,22.1,9.8,27.0,826,122,10,8.2,45.1,89.3,8.6,0.191,0.326,0.258,0.344,,-1.625,-0.235,-0.235,-0.242
"Mateo, Jorge",49.6,70.3,84.3,33.4,56.5,45.7,32.2,51.7,23.1,5.5,75.6,149,45.0,23.5,22.1,9.4,40.3,33.6,26.2,5.4,31.5,26.8,24.2,7.4,30.2,820,149,6,4.0,34.9,88.1,14.1,0.228,0.339,0.271,0.328,,-1.367,-0.234,-0.234,-2.202
"Johnson, Daniel",100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,1,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1,1,0,0.0,100.0,100.3,-13.4,0.286,0.29,0.261,0.261,,3.865,-0.24,-0.24,-3.721
"Rivera, Emmanuel",47.0,70.8,81.7,28.9,49.4,41.7,32.5,48.6,28.3,7.6,77.3,202,52.0,22.8,20.3,5.0,29.7,44.6,25.7,3.0,37.1,18.3,27.7,5.9,33.7,1151,202,16,7.9,44.1,89.7,8.7,0.25,0.383,0.318,0.369,,0.695,-0.232,-0.232,0.575
"Rutschman, Adley",49.9,60.1,87.9,28.9,72.5,43.4,10.4,44.5,17.1,7.4,63.9,475,34.9,32.0,25.5,7.6,41.5,34.9,23.6,1.9,24.6,33.3,29.3,4.8,35.4,2593,475,29,6.1,36.6,88.2,18.8,0.255,0.393,0.315,0.339,,-1.149,-0.222,-0.222,-1.173
"Mountcastle, Ryan",47.8,75.8,83.8,38.0,58.6,42.6,39.1,56.1,25.1,7.8,84.6,365,44.4,23.6,27.4,4.7,27.4,39.2,33.4,3.0,33.2,21.1,25.8,7.9,36.2,1901,365,32,8.8,45.2,90.8,10.4,0.272,0.445,0.332,0.408,,2.089,-0.226,-0.227,2.225
"Mayo, Coby",46.3,67.8,66.1,30.7,32.3,41.0,41.3,47.9,45.6,6.4,83.3,19,47.4,15.8,36.8,0.0,47.4,36.8,15.8,5.3,36.8,21.1,36.8,0.0,52.6,188,19,0,0.0,21.1,84.7,6.0,0.17,0.204,0.222,0.354,,-4.21,-0.239,-0.239,-5.709
"Cowser, Colton",50.1,64.0,79.2,25.0,43.3,42.9,25.9,44.5,30.4,7.0,71.0,330,43.3,30.6,22.4,3.6,34.8,39.4,25.8,3.9,31.2,21.2,22.4,7.6,32.1,2311,330,45,13.6,46.1,90.5,13.0,0.23,0.437,0.326,0.433,,-0.209,-0.228,-0.227,3.047
"Soto, Livan",53.0,65.7,95.7,22.6,57.1,39.4,31.3,45.5,13.3,4.5,66.7,10,30.0,50.0,20.0,0.0,30.0,60.0,10.0,10.0,20.0,30.0,30.0,0.0,40.0,66,10,1,10.0,20.0,85.1,22.1,0.265,0.345,0.346,0.347,,-1.86,-0.24,-0.24,-1.781
"Westburg, Jordan",50.0,71.6,79.3,30.4,50.4,42.4,38.0,51.0,29.3,6.7,80.7,321,41.7,26.2,26.5,5.6,38.3,39.6,22.1,2.2,29.9,23.7,23.4,9.0,37.4,1634,321,38,11.8,46.1,91.1,13.1,0.281,0.491,0.353,0.429,,2.0,-0.228,-0.228,3.677
"O'Hearn, Ryan",49.5,67.7,89.7,26.2,62.2,41.7,24.4,46.7,18.1,8.5,75.6,377,40.8,27.1,26.0,6.1,36.1,36.3,27.6,2.1,32.1,26.3,23.1,9.3,35.0,1920,377,26,6.9,40.1,89.6,12.0,0.278,0.461,0.351,0.374,,0.337,-0.226,-0.226,0.117
"Santander, Anthony",46.8,67.8,84.6,33.8,72.0,42.5,31.2,49.7,20.0,6.8,73.0,471,30.6,33.8,21.7,14.0,44.4,32.1,23.6,3.0,22.5,35.0,18.5,9.1,35.0,2738,471,55,11.7,41.6,89.8,22.7,0.228,0.445,0.324,0.364,,-0.825,-0.222,-0.222,2.286
"Henderson, Gunnar",48.4,66.7,82.5,23.2,57.2,43.4,25.2,44.2,24.4,7.0,77.8,475,47.4,23.6,24.6,4.4,36.6,40.0,23.4,3.2,33.7,18.7,24.4,8.6,34.5,2896,475,53,11.2,53.9,92.8,9.2,0.283,0.492,0.374,0.443,,2.188,-0.222,-0.222,3.424
"Jiménez, Eloy",46.5,70.1,84.7,33.0,53.8,41.1,35.6,50.3,26.2,8.5,78.4,255,56.9,15.7,20.8,6.7,36.9,45.9,17.3,2.7,45.1,17.6,22.4,3.9,25.1,1201,255,20,7.8,49.0,92.0,4.3,0.248,0.382,0.3,0.347,,1.77,-0.23,-0.231,1.339
"Devers, Rafael",47.3,73.8,71.9,30.4,62.9,42.7,35.2,50.9,30.9,6.7,81.1,384,41.4,26.6,25.0,7.0,32.3,41.7,26.0,3.6,29.9,22.9,21.4,8.6,35.2,2375,384,50,13.0,52.6,93.2,11.6,0.271,0.507,0.363,0.455,,4.943,-0.237,-0.237,6.628
"O'Neill, Tyler",47.2,65.2,75.6,26.2,44.2,42.6,27.7,44.6,34.1,7.0,75.5,254,36.2,33.1,20.1,10.6,51.2,31.9,16.9,5.1,25.6,28.7,15.4,7.9,34.6,1984,254,44,17.3,48.8,90.9,20.2,0.213,0.48,0.339,0.475,,0.785,-0.242,-0.241,5.975
"Abreu, Wilyer",49.4,68.4,76.4,28.2,55.0,43.6,25.1,48.1,29.6,6.7,76.0,279,34.1,34.1,23.3,8.6,43.7,32.6,23.7,1.4,24.0,31.5,23.3,7.5,33.7,1806,279,31,11.1,50.5,91.6,19.2,0.229,0.418,0.317,0.403,,1.648,-0.241,-0.241,3.556
"Casas, Triston",50.2,65.8,74.0,23.1,50.0,43.4,27.8,44.5,32.2,6.8,70.1,135,43.7,31.1,21.5,3.7,34.8,41.5,23.7,5.9,31.1,20.7,21.5,7.4,35.6,991,135,18,13.3,45.2,90.2,10.5,0.219,0.452,0.33,0.446,,0.351,-0.246,-0.246,3.486
"Valdez, Enmanuel",47.9,60.5,85.0,28.6,63.5,41.7,22.4,43.9,22.1,6.9,63.5,153,34.6,32.7,20.9,11.8,46.4,28.8,24.8,2.0,24.8,33.3,23.5,5.9,32.0,919,153,14,9.2,41.8,89.4,19.3,0.234,0.407,0.304,0.368,,-0.99,-0.246,-0.246,0.214
"Story, Trevor",49.3,70.1,82.9,34.9,43.9,43.2,32.7,52.3,30.3,8.3,61.3,61,34.4,26.2,27.9,11.5,32.8,34.4,32.8,3.3,24.6,34.4,27.9,3.3,37.7,373,61,4,6.6,29.5,86.1,18.6,0.193,0.29,0.255,0.322,,-3.256,-0.249,-0.249,-2.908
"Refsnyder, Rob",52.2,65.9,79.2,24.7,48.6,42.6,28.8,46.2,28.1,8.5,78.4,195,46.2,22.6,24.6,6.7,37.4,37.4,25.1,4.6,31.3,21.5,27.7,4.6,32.8,1202,195,19,9.7,43.1,89.6,10.7,0.252,0.412,0.326,0.399,,0.763,-0.244,-0.244,0.975
"Jansen, Danny",49.2,61.8,85.3,20.3,61.0,43.2,17.3,40.6,20.9,8.6,74.4,220,29.5,34.1,24.1,12.3,50.5,32.3,17.3,5.0,22.7,40.0,19.5,5.9,34.1,1376,220,14,6.4,29.7,86.6,21.7,0.201,0.332,0.289,0.291,,-5.45,-0.243,-0.243,-4.372
"Yoshida, Masataka",51.2,64.7,91.3,25.2,69.4,41.1,18.5,45.4,14.6,8.8,73.6,328,43.9,24.4,26.2,5.5,35.7,37.2,27.1,4.9,31.7,23.8,26.8,7.3,36.3,1593,328,18,5.5,37.5,88.0,10.5,0.258,0.394,0.322,0.326,,-1.341,-0.239,-0.24,-2.913
"Wong, Connor",51.8,72.2,80.2,29.5,46.4,41.4,35.1,51.6,28.8,6.8,74.6,336,44.3,24.1,22.6,8.9,40.2,33.6,26.2,7.7,30.1,25.6,24.4,5.4,30.7,1865,336,21,6.3,34.5,86.5,12.9,0.231,0.355,0.288,0.342,,-1.775,-0.239,-0.239,-2.349
"Sogard, Nick",51.1,68.5,82.8,27.6,53.2,41.1,39.5,48.6,25.4,8.0,85.7,54,33.3,24.1,37.0,5.6,38.9,44.4,16.7,3.7,25.9,22.2,40.7,5.6,48.1,348,54,1,1.9,31.5,87.4,15.7,0.279,0.363,0.309,0.402,,0.116,-0.249,-0.249,-3.028
"Rafaela, Ceddanne",48.3,78.6,75.0,46.4,52.7,40.8,50.4,61.9,33.0,7.1,84.4,398,42.5,26.4,22.9,8.3,37.2,36.7,26.1,7.0,30.9,25.6,23.9,5.0,34.9,2070,398,30,7.5,36.9,86.6,14.9,0.229,0.368,0.273,0.355,,0.632,-0.237,-0.237,0.725
"Hamilton, David",51.4,66.3,82.3,24.2,44.3,41.8,34.1,45.9,25.6,7.6,74.7,214,37.4,29.4,28.0,5.1,41.1,31.3,27.6,6.1,27.1,28.5,25.2,7.5,38.3,1190,214,12,5.6,32.2,87.0,15.8,0.231,0.346,0.281,0.342,,-3.002,-0.244,-0.244,-3.547
"Duran, Jarren",50.3,68.2,84.1,28.1,52.6,42.7,26.8,48.3,24.8,7.2,78.5,515,46.8,21.0,25.6,6.6,29.9,40.0,30.1,2.7,35.7,20.4,25.4,6.2,33.8,2844,515,48,9.3,43.9,90.8,9.5,0.271,0.448,0.338,0.403,,2.388,-0.233,-0.233,1.955
"Grissom, Vaughn",48.8,62.0,87.3,29.5,58.2,42.7,22.8,45.4,22.4,7.2,71.9,82,46.3,19.5,31.7,2.4,34.1,37.8,28.0,3.7,36.6,23.2,28.0,3.7,41.5,443,82,4,4.9,32.9,86.1,8.3,0.254,0.337,0.287,0.332,,-1.644,-0.248,-0.249,-3.954
"Gasper, Mickey",44.6,39.0,93.8,23.5,58.3,55.4,17.4,30.4,21.4,4.3,25.0,10,50.0,10.0,40.0,0.0,30.0,20.0,50.0,10.0,40.0,20.0,30.0,0.0,40.0,92,10,0,0.0,40.0,90.7,4.5,0.21,0.264,0.315,0.376,,-2.952,-0.251,-0.251,-6.112
"Gonzalez, Romy",47.2,75.9,82.8,36.7,48.8,41.2,42.1,55.2,29.2,7.4,93.4,145,57.9,17.9,20.7,3.4,26.9,46.9,26.2,4.8,39.3,15.9,22.8,9.0,29.7,826,145,12,8.3,51.0,92.3,3.7,0.255,0.415,0.313,0.404,,5.149,-0.246,-0.246,3.816
"Alcántara, Kevin",61.5,68.8,100.0,20.0,50.0,38.5,50.0,50.0,7.7,15.4,100.0,9,88.9,11.1,0.0,0.0,33.3,33.3,33.3,11.1,55.6,11.1,22.2,0.0,0.0,26,9,0,0.0,33.3,86.3,-10.1,0.204,0.256,0.202,0.224,,-2.983,-0.245,-0.245,-6.282
"Crow-Armstrong, Pete",50.3,79.7,73.2,41.4,57.9,42.5,50.7,60.7,29.9,8.9,82.7,285,42.5,29.8,21.8,6.0,40.7,35.4,23.9,11.6,25.6,28.8,20.7,6.0,33.3,1421,285,21,7.4,36.8,88.9,17.2,0.223,0.367,0.281,0.343,,1.1,-0.235,-0.235,1.523
"Wisdom, Patrick",51.2,71.3,77.7,25.7,42.0,41.9,35.6,49.1,31.4,7.6,81.1,101,25.7,45.5,13.9,14.9,33.7,35.6,30.7,5.9,13.9,43.6,11.9,7.9,23.8,701,101,16,15.8,48.5,90.9,28.0,0.184,0.419,0.288,0.402,,1.44,-0.242,-0.241,5.324
"Happ, Ian",50.8,67.8,78.5,23.2,52.7,45.0,34.0,45.9,27.9,7.1,80.2,403,39.2,30.3,22.8,7.7,38.7,34.0,27.3,3.5,26.8,26.6,23.6,7.7,37.0,2721,403,47,11.7,45.2,90.8,15.1,0.243,0.446,0.345,0.416,,1.674,-0.23,-0.23,3.418
"Tauchman, Mike",49.6,69.6,81.4,22.7,65.9,43.2,32.0,46.0,22.5,8.0,85.4,229,38.9,31.4,23.1,6.6,33.6,34.9,31.4,2.2,28.8,30.1,26.2,4.8,34.9,1537,229,17,7.4,41.0,89.0,15.5,0.238,0.377,0.327,0.346,,0.236,-0.237,-0.236,0.41
"Madrigal, Nick",49.2,67.0,94.1,33.5,78.7,39.9,24.5,50.0,11.2,10.1,75.0,77,61.0,13.0,20.8,5.2,24.7,35.1,40.3,7.8,46.8,20.8,23.4,0.0,27.3,358,77,0,0.0,18.2,85.1,3.4,0.243,0.291,0.27,0.265,,-3.601,-0.242,-0.243,-6.204
"Amaya, Miguel",50.2,74.2,85.9,33.6,57.4,41.4,38.8,54.0,22.5,7.0,85.6,274,45.3,23.0,25.2,6.6,34.3,33.9,31.8,6.2,31.8,24.8,25.2,6.9,33.9,1291,274,13,4.7,33.9,88.4,11.1,0.251,0.371,0.3,0.329,,0.347,-0.235,-0.236,-0.705
"Mervis, Matt",55.1,77.8,73.8,27.3,33.3,39.8,39.3,55.1,35.2,9.2,88.9,18,44.4,33.3,16.7,5.6,55.6,22.2,22.2,5.6,33.3,44.4,5.6,0.0,16.7,98,18,1,5.6,27.8,87.1,10.5,0.12,0.191,0.158,0.2,,-4.225,-0.245,-0.245,-3.983
"Busch, Michael",48.3,68.6,79.6,23.2,48.2,45.2,32.2,45.2,28.4,7.2,86.5,338,38.8,32.0,22.8,6.5,40.5,35.2,24.3,4.1,28.1,29.0,20.7,6.5,36.4,2365,338,38,11.2,39.9,89.9,17.2,0.217,0.418,0.319,0.399,,0.286,-0.233,-0.232,2.311
"Mastrobuoni, Miles",49.7,56.8,85.2,26.0,68.0,37.2,11.3,41.5,20.3,8.6,69.7,82,43.9,31.7,22.0,2.4,26.8,46.3,26.8,3.7,30.5,26.8,30.5,6.1,32.9,381,82,2,2.4,31.7,87.4,13.9,0.261,0.358,0.294,0.321,,-0.639,-0.242,-0.243,-1.757
"Vázquez, Luis",47.1,79.2,63.2,44.4,33.3,54.9,50.0,60.8,48.4,3.9,50.0,7,57.1,0.0,28.6,14.3,14.3,57.1,28.6,14.3,42.9,14.3,28.6,0.0,14.3,51,7,0,0.0,42.9,84.3,-0.2,0.102,0.111,0.158,0.214,,-0.121,-0.245,-0.245,-2.226
"Suzuki, Seiya",48.6,59.6,83.4,20.7,53.9,42.3,13.4,39.6,24.5,7.5,70.9,356,33.7,34.0,26.7,5.6,32.6,44.9,22.5,0.8,23.9,28.1,25.3,10.1,38.8,2509,356,41,11.5,49.2,91.7,16.2,0.255,0.453,0.346,0.437,,2.875,-0.232,-0.231,4.479
"Swanson, Dansby",52.7,71.0,77.3,24.0,51.3,43.9,36.3,48.7,28.7,8.2,88.7,393,49.9,23.2,21.6,5.3,43.3,36.1,20.6,3.3,36.1,21.1,22.4,7.9,32.6,2355,393,36,9.2,42.7,89.4,10.4,0.244,0.416,0.321,0.388,,1.162,-0.231,-0.231,1.819
"Paredes, Isaac",47.7,64.7,89.0,26.5,68.9,42.4,20.7,44.7,17.2,7.6,72.4,443,30.9,29.3,25.5,14.2,51.9,29.3,18.7,5.4,23.0,35.9,23.9,7.2,37.0,2853,443,20,4.5,27.1,85.0,22.4,0.22,0.337,0.304,0.295,,-3.616,-0.229,-0.228,-3.56
"Canario, Alexander",57.4,63.8,64.9,23.3,20.0,45.5,39.3,46.5,44.7,5.0,80.0,14,42.9,14.3,28.6,14.3,35.7,50.0,14.3,21.4,21.4,21.4,14.3,7.1,28.6,101,14,2,14.3,42.9,88.0,10.8,0.201,0.373,0.293,0.437,,0.81,-0.245,-0.245,3.541
"Hoerner, Nico",51.7,63.7,92.7,31.8,77.5,43.6,27.0,48.4,11.9,7.4,71.3,519,43.9,19.5,29.9,6.7,33.3,37.4,29.3,4.2,35.3,26.0,31.0,2.1,36.0,2314,519,6,1.2,27.6,85.7,10.4,0.28,0.353,0.313,0.313,,-1.486,-0.226,-0.227,-3.758
"Bethancourt, Christian",44.8,77.5,75.4,48.4,56.5,41.9,51.0,61.4,31.5,7.0,88.9,105,47.6,30.5,14.3,7.6,39.0,41.0,20.0,8.6,31.4,27.6,19.0,4.8,25.7,516,105,8,7.6,41.9,89.1,12.4,0.218,0.36,0.267,0.335,,2.582,-0.241,-0.242,2.746
"Bellinger, Cody",50.1,67.1,84.0,32.4,65.0,43.2,32.7,49.8,22.2,7.5,77.1,432,37.0,35.0,21.1,6.9,40.5,33.3,26.2,2.3,27.3,36.6,23.6,3.9,32.9,2083,432,27,6.3,32.9,87.8,17.4,0.242,0.391,0.301,0.326,,-0.607,-0.229,-0.23,-0.33
"Dunn, Blake",46.7,64.3,72.2,28.1,44.4,49.2,41.4,45.0,37.0,7.5,88.9,15,46.7,26.7,6.7,20.0,33.3,33.3,33.3,0.0,40.0,40.0,13.3,0.0,26.7,120,15,1,6.7,13.3,85.7,22.7,0.153,0.28,0.238,0.32,,-5.105,-0.227,-0.227,-2.391
"Rosario, Amed",48.3,72.6,85.4,38.8,58.0,43.8,35.0,55.2,24.6,6.4,80.5,260,50.8,18.8,25.4,5.0,30.0,40.0,30.0,6.5,39.2,18.8,26.9,3.8,33.5,1210,260,12,4.6,36.2,86.9,4.6,0.25,0.359,0.28,0.337,,2.285,-0.218,-0.218,-0.039
"Espinal, Santiago",51.4,68.8,90.2,28.0,70.2,41.1,29.2,49.0,14.8,8.2,80.6,311,39.5,25.1,27.3,8.0,37.0,30.5,32.5,3.9,30.9,29.9,29.3,4.2,35.0,1505,311,6,1.9,24.1,85.9,15.0,0.258,0.344,0.288,0.306,,-1.94,-0.216,-0.216,-4.265
"Martini, Nick",52.0,68.0,81.9,29.7,58.4,43.2,28.8,49.6,24.8,8.8,69.1,111,41.4,30.6,19.8,8.1,44.1,30.6,25.2,7.2,32.4,31.5,19.8,1.8,32.4,625,111,8,7.2,34.2,87.4,14.9,0.214,0.34,0.276,0.322,,-1.015,-0.223,-0.224,-0.751
"Wiemer, Joey",53.2,56.9,81.8,27.5,42.9,45.9,35.7,43.1,29.8,8.3,66.7,17,41.2,17.6,17.6,23.5,52.9,35.3,11.8,0.0,41.2,35.3,11.8,5.9,23.5,109,17,1,5.9,23.5,82.8,18.0,0.182,0.298,0.243,0.32,,-4.063,-0.227,-0.227,-2.929
"Maile, Luke",47.6,66.1,82.6,26.0,43.7,44.2,31.8,45.2,28.8,8.9,75.4,85,43.5,23.5,29.4,3.5,40.0,42.4,17.6,7.1,32.9,25.9,25.9,4.7,37.6,637,85,3,3.5,24.7,84.7,11.3,0.177,0.252,0.241,0.298,,-2.562,-0.225,-0.224,-3.303
"India, Jonathan",50.9,57.6,87.6,18.4,57.9,42.8,19.2,38.3,19.2,8.1,63.9,417,43.2,22.8,26.6,7.4,41.2,39.3,19.4,4.6,31.9,22.5,27.3,5.8,39.3,2652,417,32,7.7,36.5,87.2,13.5,0.266,0.412,0.352,0.38,,0.277,-0.211,-0.211,0.009
"Hinds, Rece",44.8,73.2,80.0,41.6,35.7,42.1,52.9,55.7,38.2,4.9,88.9,30,30.0,43.3,20.0,6.7,36.7,36.7,26.7,3.3,20.0,36.7,20.0,0.0,40.0,183,30,6,20.0,40.0,91.6,18.9,0.245,0.606,0.386,0.541,,4.737,-0.227,-0.227,10.412
"Stephenson, Tyler",49.2,63.4,86.8,23.7,52.8,42.3,32.2,43.2,22.7,7.7,67.1,342,47.7,27.2,21.3,3.8,39.2,36.5,24.3,2.0,35.1,22.2,25.1,6.1,33.0,1947,342,31,9.1,43.9,90.2,10.9,0.241,0.403,0.322,0.373,,1.853,-0.214,-0.214,1.961
"Fraley, Jake",53.1,81.2,84.3,31.6,62.4,42.1,50.5,57.9,21.3,7.1,92.6,283,44.2,21.2,27.2,7.4,43.5,32.5,24.0,6.4,35.3,25.8,25.1,3.5,34.6,1331,283,9,3.2,24.7,84.3,11.1,0.245,0.323,0.285,0.313,,-1.494,-0.217,-0.217,-3.881
"De La Cruz, Elly",47.3,61.7,75.6,26.9,45.3,41.2,33.4,43.4,33.4,6.7,76.5,403,47.1,24.8,24.8,3.2,43.4,34.0,22.6,3.7,33.0,21.1,22.8,6.2,35.7,2751,403,51,12.7,45.7,91.8,9.7,0.24,0.428,0.328,0.44,,2.765,-0.212,-0.211,4.469
"Wynns, Austin",56.0,61.9,84.6,39.4,53.8,46.7,30.0,52.0,25.6,9.3,71.4,14,35.7,21.4,35.7,7.1,42.9,28.6,28.6,0.0,14.3,28.6,42.9,14.3,50.0,75,14,0,0.0,35.7,91.5,15.8,0.289,0.367,0.307,0.388,,3.068,-0.227,-0.227,-0.149
"Benson, Will",52.0,71.2,68.4,22.0,33.7,41.9,36.6,47.6,39.0,7.2,88.3,192,35.9,35.4,22.9,5.7,49.5,31.3,19.3,4.2,25.5,30.7,23.4,4.7,36.5,1656,192,22,11.5,40.1,89.4,18.2,0.18,0.333,0.268,0.392,,-0.604,-0.22,-0.219,2.123
"Steer, Spencer",49.2,64.8,86.6,24.8,52.1,43.2,22.9,44.5,23.1,7.3,75.4,439,37.8,29.4,23.0,9.8,42.8,32.6,24.6,5.5,27.3,29.2,23.7,7.7,34.2,2621,439,28,6.4,39.9,88.0,17.4,0.235,0.379,0.315,0.345,,0.292,-0.211,-0.21,0.159
"Fairchild, Stuart",49.6,74.7,72.5,26.0,36.6,41.9,41.2,50.2,35.5,7.5,85.9,152,38.8,30.3,16.4,14.5,45.4,28.9,25.7,11.2,21.7,31.6,20.4,5.9,27.6,853,152,12,7.9,36.8,85.5,20.5,0.215,0.376,0.293,0.354,,-1.021,-0.222,-0.222,0.332
"Encarnacion-Strand, Christian",48.6,72.1,84.8,40.5,46.8,44.6,35.8,55.9,29.4,8.9,77.5,83,48.2,22.9,16.9,12.0,43.4,33.7,22.9,6.0,32.5,24.1,22.9,4.8,27.7,451,83,7,8.4,37.3,87.8,15.5,0.24,0.432,0.299,0.402,,2.176,-0.225,-0.225,2.737
"Marte, Noelvi",45.6,74.4,80.9,37.1,46.1,41.0,45.5,54.1,32.1,7.4,80.0,155,45.8,21.3,22.6,10.3,36.8,36.1,27.1,4.5,34.8,25.8,21.9,6.5,33.5,882,155,10,6.5,36.1,87.0,11.4,0.225,0.346,0.268,0.364,,1.487,-0.222,-0.222,0.764
"Candelario, Jeimer",48.0,70.1,79.1,34.6,55.5,43.1,38.7,51.7,29.1,7.1,75.4,316,41.5,30.7,22.2,5.7,45.9,31.3,22.8,5.4,32.6,25.9,21.8,5.7,33.9,1781,316,26,8.2,34.5,86.9,12.4,0.221,0.364,0.28,0.34,,-0.125,-0.215,-0.216,0.303
"Hurtubise, Jacob",53.7,60.9,80.4,23.8,67.7,42.0,42.6,43.8,20.3,7.8,68.2,41,34.1,24.4,34.1,7.3,36.6,36.6,26.8,19.5,14.6,36.6,26.8,2.4,39.0,281,41,0,0.0,14.6,82.8,20.6,0.192,0.25,0.265,0.289,,-5.806,-0.226,-0.226,-6.481
"France, Ty",50.7,74.7,83.6,26.9,53.5,42.5,36.6,51.2,24.2,7.3,83.1,370,45.1,27.3,21.1,6.5,33.2,36.8,30.0,4.3,33.0,25.9,23.2,6.2,30.5,2028,370,27,7.3,40.0,88.7,12.9,0.228,0.387,0.303,0.343,,1.215,-0.213,-0.214,1.09
"Friedl, TJ",51.3,61.8,88.5,24.0,63.3,43.2,16.1,43.4,17.9,8.2,75.2,251,38.2,27.9,24.3,9.6,47.4,32.7,19.9,9.6,26.3,33.1,21.9,5.6,29.9,1286,251,8,3.2,31.5,86.0,16.7,0.228,0.318,0.292,0.291,,-2.011,-0.218,-0.218,-3.252
"Hedges, Austin",54.0,76.0,74.7,29.0,35.6,44.7,45.9,54.5,32.9,8.2,82.2,87,36.8,34.5,16.1,12.6,52.9,28.7,18.4,10.3,23.0,42.5,17.2,5.7,24.1,547,87,1,1.1,24.1,84.8,21.4,0.127,0.179,0.166,0.208,,-4.305,-0.243,-0.242,-4.614
"Ramírez, José",47.6,68.9,90.6,31.7,73.2,44.3,16.9,49.4,15.2,6.8,77.0,544,34.2,31.1,22.6,12.1,51.3,30.1,18.6,2.9,25.9,34.4,19.7,8.5,34.0,2735,544,47,8.6,39.7,89.2,19.6,0.259,0.453,0.329,0.35,,1.08,-0.226,-0.226,2.301
"Naylor, Josh",45.2,72.3,85.4,32.2,63.0,42.1,39.5,50.3,22.4,6.3,81.3,462,46.8,25.1,20.8,7.4,38.1,40.3,21.6,3.5,34.6,24.2,22.9,6.1,30.1,2284,462,39,8.4,40.9,89.9,11.1,0.257,0.443,0.335,0.366,,2.472,-0.229,-0.229,3.249
"Schneemann, Daniel",49.2,74.5,75.5,24.5,47.3,42.5,39.8,49.1,31.7,7.9,85.9,126,44.4,25.4,25.4,4.8,40.5,40.5,19.0,2.4,31.7,23.8,31.7,5.6,41.3,901,126,6,4.8,38.1,88.5,11.1,0.209,0.307,0.277,0.348,,0.364,-0.241,-0.241,0.011
"Arias, Gabriel",52.1,80.1,70.1,40.1,41.4,44.8,52.8,60.9,38.4,8.1,93.6,101,51.5,15.8,26.7,5.9,34.7,42.6,22.8,5.9,38.6,15.8,24.8,6.9,35.6,578,101,8,7.9,36.6,89.7,5.6,0.221,0.368,0.274,0.389,,2.662,-0.242,-0.242,3.407
"Naylor, Bo",51.0,65.7,78.7,27.2,53.9,44.2,30.2,46.9,28.3,7.6,79.0,236,36.0,30.1,22.0,11.9,43.2,36.4,20.3,4.7,24.6,33.9,21.6,6.8,32.6,1624,236,19,8.1,37.7,88.8,19.9,0.196,0.326,0.26,0.34,,-0.336,-0.237,-0.236,1.292
"Brennan, Will",51.0,75.1,86.6,33.7,70.0,43.6,40.9,54.8,18.1,6.9,87.1,283,42.4,25.1,24.7,7.8,36.7,38.2,25.1,6.4,30.4,26.9,27.6,4.2,31.1,1230,283,13,4.6,32.5,86.0,13.3,0.269,0.374,0.302,0.326,,0.602,-0.235,-0.236,-0.595
