Player,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %,BBE,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Launch Angle Sweet-Spot %,Pitches,Batted Balls,Barrels,Barrel %,Hard Hit %,Exit Velocity,Launch Angle,XBA,XSLG,XWOBA,XWOBACON,,Hit_Score,Walk_Score,Bats_Score,Bases_Score
"Kiner-Falefa, Isiah",52.3,60.8,90.2,30.1,72.5,43.0,20.2,46.1,14.8,8.8,68.5,392,48.5,21.2,24.2,6.1,32.4,41.6,26.0,6.6,38.0,23.0,24.5,5.1,31.6,1710,392,9,2.3,29.7,86.1,9.1,0.251,0.346,0.283,0.312,,-1.772,-0.218,-0.219,-3.691
"Hayes, Ke'Bryan",48.9,62.3,92.2,28.0,60.0,41.5,27.8,44.8,18.1,6.2,61.5,294,52.0,17.0,25.2,5.8,23.1,44.9,32.0,3.7,41.5,20.7,24.5,6.5,29.9,1470,294,7,2.4,42.9,88.9,4.8,0.244,0.327,0.279,0.313,,0.905,-0.221,-0.222,-1.781
"Reynolds, Bryan",46.2,74.0,81.3,30.2,48.0,43.6,39.4,50.4,29.4,6.4,86.2,469,46.1,26.7,24.9,2.3,35.2,37.5,27.3,4.9,30.9,21.1,25.8,7.2,37.5,2604,469,45,9.6,45.4,89.9,9.4,0.27,0.463,0.35,0.42,,2.83,-0.215,-0.215,2.941
"Bart, Joey",51.7,59.6,83.9,26.4,47.9,44.1,29.1,43.7,26.2,8.5,71.9,181,48.6,23.8,23.2,4.4,45.3,36.5,18.2,4.4,30.9,21.0,29.8,3.3,32.6,1127,181,17,9.4,38.7,88.1,10.5,0.247,0.431,0.33,0.408,,-0.29,-0.226,-0.226,0.701
"Joe, Connor",50.7,63.8,81.6,21.9,52.2,40.5,31.8,43.1,25.7,8.2,82.4,275,42.9,24.7,19.3,13.1,43.3,30.2,26.5,5.5,32.0,33.8,20.4,3.3,30.9,1651,275,13,4.7,32.7,85.3,16.3,0.206,0.308,0.277,0.295,,-4.001,-0.222,-0.222,-3.94
"McCutchen, Andrew",51.3,65.6,77.7,17.2,44.8,44.0,29.9,42.0,28.9,8.2,80.2,317,41.6,29.3,20.8,8.2,39.4,41.0,19.6,3.5,32.8,26.8,19.2,5.7,31.9,2163,317,38,12.0,36.9,88.5,14.3,0.227,0.421,0.327,0.391,,-1.454,-0.221,-0.22,0.971
"Peguero, Liover",47.8,68.2,80.0,41.7,30.0,54.3,10.0,54.3,40.0,0.0,0.0,7,42.9,14.3,42.9,0.0,57.1,28.6,14.3,0.0,42.9,14.3,28.6,14.3,42.9,46,7,0,0.0,28.6,84.4,6.0,0.271,0.345,0.268,0.382,,0.502,-0.233,-0.233,-2.784
"Davis, Henry",48.2,71.3,70.9,24.4,43.9,43.6,37.7,47.0,36.3,8.4,84.1,62,40.3,21.0,19.4,19.4,45.2,30.6,24.2,11.3,27.4,29.0,21.0,6.5,29.0,521,62,3,4.8,35.5,85.3,17.2,0.156,0.228,0.226,0.286,,-4.305,-0.23,-0.23,-3.52
"Machado, Manny",51.4,72.4,83.8,29.7,54.7,44.2,39.4,51.6,24.4,6.8,80.4,473,43.3,22.0,26.6,8.0,35.1,42.5,22.4,1.7,32.3,24.3,24.3,5.9,33.8,2387,473,52,11.0,48.8,92.5,12.7,0.272,0.461,0.338,0.397,,3.189,-0.217,-0.217,4.223
"Cronenworth, Jake",51.2,65.9,89.1,23.1,62.3,43.4,19.1,45.0,17.1,8.3,78.9,463,43.6,25.3,23.8,7.3,32.6,38.7,28.7,5.2,29.2,25.7,25.7,5.8,35.4,2752,463,36,7.8,36.7,88.6,13.9,0.259,0.42,0.335,0.365,,-0.367,-0.218,-0.217,-0.025
"Higashioka, Kyle",49.8,64.8,82.5,28.1,53.3,40.5,21.3,46.4,25.6,7.4,72.2,174,29.3,35.1,24.1,11.5,50.0,30.5,19.5,5.7,20.7,33.3,20.1,9.2,40.2,1062,174,19,10.9,37.4,88.4,20.7,0.22,0.43,0.298,0.391,,-0.909,-0.229,-0.228,1.723
"Lockridge, Brandon",52.2,62.5,80.0,40.9,66.7,52.2,33.3,52.2,25.0,8.7,100.0,8,50.0,37.5,0.0,12.5,50.0,50.0,0.0,12.5,37.5,37.5,0.0,0.0,12.5,46,8,1,12.5,50.0,90.9,18.0,0.156,0.287,0.191,0.286,,1.229,-0.235,-0.235,3.792
"Merrill, Jackson",49.3,80.0,85.8,34.4,64.2,41.9,45.8,56.9,20.5,7.9,90.3,462,36.8,33.1,26.0,4.1,32.3,41.8,26.0,3.0,26.2,26.4,25.3,7.8,39.6,2214,462,52,11.3,43.9,90.4,14.6,0.3,0.531,0.369,0.43,,3.076,-0.218,-0.218,4.289
"Díaz, Elias",48.1,76.1,81.6,33.2,52.2,42.6,37.5,53.8,27.8,8.1,80.4,258,51.2,17.1,25.6,6.2,34.1,43.8,22.1,4.7,39.9,20.9,24.8,4.3,31.0,1323,258,12,4.7,34.5,87.1,7.6,0.242,0.343,0.28,0.319,,0.479,-0.226,-0.225,-0.687
