Player,AB,H,2B,3B,HR,BB,,TB,Runs
"Arraez, Luis",637,200,32,3,4,24,,250,85.0
"Peralta, David",236,63,11,0,8,22,,98,32.0
"Johnson, Bryce",63,13,2,0,0,7,,15,4.0
"Profar, Jurickson",564,158,29,0,24,76,,259,95.0
"Kim, Ha-Seong",403,94,16,3,11,58,,149,49.0
"Campusano, Luis",277,63,13,0,8,20,,100,28.0
"Ahmed, Nick",210,48,6,1,2,11,,62,17.0
"Locklear, Tyler",45,7,1,0,2,3,,14,3.0
"Raley, Luke",404,98,19,2,22,27,,187,54.0
"Urías, Luis",94,18,7,0,4,9,,37,10.0
"Rojas, Josh",422,95,19,2,8,46,,142,43.0
"Turner, Justin",460,119,24,0,11,59,,176,60.0
"Haggerty, Sam",15,1,0,0,0,1,,1,0.0
"Rivas, Leo",73,17,1,1,0,10,,20,7.0
"Bliss, Ryan",63,14,3,1,2,5,,25,7.0
"Crawford, J.P.",392,79,16,2,9,52,,126,37.0
"Moore, Dylan",368,74,23,4,10,53,,135,41.0
"Polanco, Jorge",416,89,11,0,16,46,,148,43.0
"Arozarena, Randy",549,120,33,0,20,73,,213,66.0
"Rodríguez, Julio",567,155,17,0,20,38,,232,74.0
"Marlowe, Cade",8,2,0,0,0,1,,2,1.0
"Haniger, Mitch",380,79,12,0,12,40,,127,36.0
"Raleigh, Cal",546,120,16,0,34,70,,238,73.0
"Garver, Mitch",367,63,17,0,15,53,,125,35.0
"Taylor, Samad",5,2,0,0,0,0,,2,1.0
"Robles, Victor",254,78,20,0,4,21,,110,40.0
"Canzone, Dominic",168,33,7,0,8,18,,64,18.0
"Murphy, Tom",34,4,1,0,1,4,,8,2.0
"Casali, Curt",108,21,3,0,1,13,,27,8.0
"Schmitt, Casey",107,27,4,1,6,4,,51,14.0
"Lee, Jung Hoo",145,38,4,0,2,10,,48,15.0
"Chapman, Matt",575,142,39,2,27,64,,266,86.0
"Canha, Mark",393,95,20,0,7,51,,136,45.0
"Walton, Donovan",22,3,0,0,1,2,,6,1.0
"Ramos, Heliot",475,128,23,3,22,37,,223,72.0
"Yastrzemski, Mike",428,99,16,9,18,38,,187,55.0
"Luciano, Marco",76,16,5,1,0,5,,23,6.0
"Fitzgerald, Tyler",314,88,19,2,15,22,,156,51.0
"Matos, Luis",150,32,5,0,5,5,,52,12.0
"Wade Jr., LaMonte",331,86,16,0,8,62,,126,47.0
"Wisely, Brett",252,60,13,1,4,13,,87,24.0
"Bailey, Patrick",401,94,16,1,8,39,,136,41.0
"Conforto, Michael",438,104,27,3,20,42,,197,60.0
"Sabol, Blake",32,10,2,0,0,5,,12,5.0
"Villar, David",35,9,4,0,1,1,,16,4.0
"Flores, Wilmer",214,44,12,0,4,20,,68,19.0
"McCray, Grant",124,25,3,2,5,6,,47,11.0
"Encarnacion, Jerar",113,28,5,0,5,5,,48,13.0
"Baker, Luken",40,7,1,1,2,7,,16,5.0
"Winn, Masyn",587,157,32,5,15,41,,244,77.0
"Arenado, Nolan",578,157,23,0,16,44,,228,74.0
"Donovan, Brendan",587,163,34,3,14,47,,245,81.0
"Fermín, José",71,11,1,1,0,7,,14,3.0
"Scott II, Victor",145,26,9,0,2,6,,41,9.0
"Burleson, Alec",547,147,20,0,21,35,,230,72.0
"Walker, Jordan",164,33,10,1,5,10,,60,15.0
"Goldschmidt, Paul",599,147,33,1,22,47,,248,74.0
"Siani, Michael",298,68,7,2,2,21,,85,24.0
"Carpenter, Matt",137,32,7,0,4,15,,51,16.0
"Gorman, Nolan",365,74,15,0,19,34,,146,40.0
"Contreras, Willson",301,79,17,0,15,45,,141,51.0
"Saggese, Thomas",49,10,2,0,1,2,,15,4.0
"Nootbaar, Lars",348,85,18,3,12,52,,145,50.0
"Herrera, Iván",229,69,12,1,5,25,,98,36.0
"Pagés, Pedro",202,48,3,2,7,13,,76,22.0
"Lowe, Brandon",385,94,19,3,21,33,,182,55.0
"Driscoll, Logan",35,6,0,0,1,1,,9,2.0
"Rortvedt, Ben",290,66,13,0,3,34,,88,27.0
"Misner, Kameron",15,1,0,0,0,0,,1,0.0
"Palacios, Richie",264,59,8,1,5,45,,84,28.0
"Aranda, Jonathan",128,30,7,0,6,12,,55,16.0
"Caminero, Junior",165,41,9,1,6,11,,70,21.0
"Caballero, José",441,100,24,1,9,27,,153,42.0
"Lowe, Josh",353,85,19,2,10,32,,138,42.0
"Siri, Jose",402,75,16,1,18,31,,147,36.0
"Shenton, Austin",42,9,5,0,1,8,,17,6.0
"Carlson, Dylan",235,49,7,0,3,22,,65,18.0
"Walls, Taylor",218,40,5,3,1,31,,54,15.0
"Morel, Christopher",535,105,11,3,21,61,,185,52.0
"Pinto, René",42,9,3,0,2,4,,18,5.0
"Mead, Curtis",122,29,3,0,1,6,,35,10.0
"DeLuca, Jonny",332,72,12,4,6,24,,110,30.0
"Díaz, Yandy",563,158,31,1,14,50,,233,79.0
"Langford, Wyatt",499,126,25,4,16,51,,207,67.0
"Ornelas, Jonathan",37,8,2,0,0,2,,10,3.0
"Foscue, Justin",42,2,1,0,0,2,,3,0.0
"Taveras, Leody",480,110,17,3,12,42,,169,49.0
"García, Adolis",580,130,27,0,25,45,,232,65.0
"Harris, Dustin",6,2,1,0,1,1,,6,3.0
"Jung, Josh",178,47,5,1,7,8,,75,22.0
"Duran, Ezequiel",268,66,11,0,3,14,,86,24.0
"Duffy, Matt",7,2,0,0,0,2,,2,1.0
"Lowe, Nathaniel",486,129,16,1,16,71,,195,70.0
"Seager, Corey",475,132,21,0,30,53,,243,85.0
"Huff, Sam",3,0,0,0,0,1,,0,0.0
"Fabian, Sandro",5,0,0,0,0,0,,0,0.0
"Smith, Josh",523,135,30,1,13,46,,206,66.0
"Semien, Marcus",650,154,27,2,23,64,,254,78.0
"Heim, Jonah",459,101,12,1,13,26,,154,40.0
"Kelly, Carson",281,67,9,1,9,25,,105,32.0
"Carter, Evan",144,27,6,2,5,15,,52,14.0
"Jankowski, Travis",190,38,5,0,1,12,,46,11.0
"Berroa, Steward",37,7,1,0,0,8,,8,3.0
"Horwitz, Spencer",328,87,19,0,12,42,,142,50.0
"De Los Santos, Luis",29,5,2,0,0,2,,7,2.0
"Bichette, Bo",311,70,16,1,4,20,,100,27.0
"Clase, Jonatan",61,15,2,0,1,3,,20,6.0
"Wagner, Will",82,25,6,0,2,4,,37,12.0
"Lukes, Nathan",76,23,4,2,1,10,,34,13.0
"Kirk, Alejandro",340,86,19,1,5,35,,122,39.0
"Martinez, Orelvis",3,1,0,0,0,0,,1,0.0
