Player,AB,H,2B,3B,HR,BB,,TB,Runs
Parker Meadows,270,66,12,6,9,25,,117,36.0
Jace Jung,79,19,5,0,0,15,,24,9.0
Jake Rogers,310,61,16,1,10,22,,109,27.0
Bligh Madris,67,18,3,0,1,6,,24,8.0
Trey Sweeney,110,24,5,0,4,7,,41,11.0
Akil Baddoo,73,10,2,2,2,8,,22,5.0
Matt Vierling,518,133,28,5,16,41,,219,68.0
Zach McKinstry,297,64,14,5,4,24,,100,27.0
Dillon Dingler,84,14,5,2,1,3,,26,5.0
Kerry Carpenter,264,75,16,5,18,22,,155,53.0
Colt Keith,516,134,15,4,13,36,,196,60.0
Spencer Torkelson,342,75,21,1,10,33,,128,37.0
Javier Báez,272,50,12,0,6,12,,80,17.0
Justyn-Henry Malloy,202,41,7,1,8,23,,74,21.0
Wenceel Pérez,389,94,16,6,9,32,,149,45.0
Ryan Vilade,45,8,0,0,1,2,,11,2.0
Vinnie Pasquantino,496,130,30,2,19,40,,221,70.0
Yuli Gurriel,54,13,3,0,0,9,,16,6.0
Paul DeJong,445,101,17,0,24,23,,190,50.0
Michael Massey,332,86,17,2,14,15,,149,43.0
Garrett Hampson,213,49,13,1,0,14,,64,18.0
Tommy Pham,440,109,20,3,9,35,,162,49.0
Robbie Grossman,208,44,8,0,3,34,,61,20.0
Nelson Velázquez,205,41,8,1,8,19,,75,20.0
Kyle Isbel,384,88,13,8,8,27,,141,39.0
Nick Loftin,148,28,4,0,1,19,,35,10.0
Tyler Gentry,5,0,0,0,0,0,,0,0.0
Dairon Blanco,120,31,4,0,4,8,,47,14.0
Bobby Witt Jr.,636,211,45,11,32,57,,374,145.0
Hunter Renfroe,385,88,18,0,15,36,,151,44.0
Salvador Perez,590,160,28,0,27,44,,269,87.0
Adam Frazier,262,53,10,1,4,22,,77,20.0
Maikel Garcia,575,133,27,5,7,42,,191,54.0
Drew Waters,16,3,1,0,0,2,,4,1.0
MJ Melendez,412,85,23,3,17,35,,165,44.0
Freddy Fermin,339,92,14,0,6,23,,124,39.0
Enrique Hernández,362,83,16,0,12,27,,135,38.0
Gavin Lux,439,110,24,2,10,44,,168,54.0
Shohei Ohtani,636,197,38,7,54,81,,411,159.0
Hunter Feduccia,12,4,0,0,0,2,,4,2.0
Andy Pages,403,100,23,1,13,29,,164,49.0
Miguel Rojas,307,87,21,0,6,23,,126,42.0
Kevin Kiermaier,259,51,9,3,5,12,,81,19.0
Freddie Freeman,542,153,35,2,22,78,,258,96.0
Teoscar Hernández,589,160,32,2,33,53,,295,98.0
Tommy Edman,139,33,5,1,6,11,,58,17.0
Max Muncy,237,55,17,0,15,45,,117,41.0
Will Smith,476,118,24,2,20,51,,206,66.0
Mookie Betts,450,130,24,5,19,61,,221,83.0
Austin Barnes,140,37,3,0,1,14,,43,14.0
James Outman,136,20,4,0,4,16,,36,9.0
Chris Taylor,213,43,7,1,4,28,,64,19.0
James Wood,295,78,13,4,9,39,,126,44.0
Keibert Ruiz,459,105,21,0,13,16,,165,42.0
Andrés Chaparro,121,26,12,0,4,7,,50,13.0
Luis García Jr.,500,141,25,1,18,27,,222,71.0
CJ Abrams,541,133,29,6,20,40,,234,70.0
Alex Call,99,34,9,0,3,12,,52,22.0
Darren Baker,14,7,2,0,0,0,,9,4.0
Ildemaro Vargas,272,67,16,0,1,19,,86,25.0
Juan Yepez,226,64,15,0,6,18,,97,33.0
Stone Garrett,5,3,1,0,1,1,,7,5.0
Dylan Crews,119,26,5,1,3,11,,42,12.0
Joey Meneses,281,65,11,0,3,21,,85,24.0
Trey Lipscomb,190,38,3,0,1,16,,44,12.0
Nasim Nuñez,61,15,1,0,0,12,,16,6.0
Jacob Young,468,120,24,1,3,30,,155,47.0
Riley Adams,116,26,5,1,2,10,,39,11.0
José Tena,161,43,5,0,3,7,,57,17.0
Drew Millas,57,14,1,0,1,5,,18,6.0
Joey Gallo,223,36,9,0,10,32,,75,20.0
Luis Torrens,118,27,8,0,3,9,,44,12.0
José Azocar,73,16,2,0,0,5,,18,5.0
Pete Alonso,608,146,31,0,34,70,,279,89.0
DJ Stewart,158,28,4,0,5,31,,47,15.0
Harrison Bader,402,95,19,0,12,21,,150,41.0
Francisco Lindor,618,169,39,1,33,56,,309,103.0
Mark Vientos,413,110,22,0,27,33,,213,68.0
Jesse Winker,430,109,23,0,14,63,,174,61.0
Jeff McNeil,424,101,26,0,12,35,,163,48.0
Luisangel Acuña,39,12,2,1,3,1,,25,8.0
Francisco Alvarez,308,73,14,2,11,30,,124,38.0
Tyrone Taylor,319,79,22,3,7,19,,128,37.0
