Player,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %,BBE,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Launch Angle Sweet-Spot %,Pitches,Batted Balls,Barrels,Barrel %,Hard Hit %,Exit Velocity,Launch Angle,XBA,XSLG,XWOBA,XWOBACON,,Hit_Score,Walk_Score,Bats_Score,Bases_Score
"Duvall, Adam",48.7,65.4,84.2,33.5,50.2,43.8,28.5,49.0,27.7,8.0,75.0,205,31.2,35.1,18.0,15.6,49.3,33.2,17.6,6.8,20.5,37.6,19.5,4.9,27.8,1252,205,22,10.7,36.6,86.9,22.2,0.197,0.387,0.283,0.368,,-1.479,0.172,-0.226,0.657
"Acuña Jr., Ronald",51.5,71.0,77.0,21.4,56.4,44.1,43.2,47.0,27.5,7.8,84.5,139,51.8,21.6,23.0,3.6,41.7,36.0,22.3,3.6,36.7,18.7,24.5,6.5,31.7,905,139,13,9.4,48.2,92.2,8.5,0.261,0.427,0.35,0.41,,1.68,-1.286,-0.229,1.358
"Williams, Luke",53.5,72.8,85.1,28.7,39.1,45.9,36.5,52.3,25.6,5.2,66.7,34,38.2,41.2,14.7,5.9,41.2,32.4,26.5,2.9,26.5,44.1,17.6,5.9,23.5,172,34,1,2.9,29.4,89.6,18.6,0.166,0.266,0.234,0.257,,-2.919,-0.362,-0.233,-3.467
"Albies, Ozzie",46.9,82.6,84.4,33.6,68.7,41.7,43.2,56.6,20.5,6.7,90.0,338,38.2,29.0,23.1,9.8,46.7,34.3,18.9,1.2,28.7,34.0,24.9,4.7,33.4,1649,338,21,6.2,32.0,88.4,18.4,0.246,0.387,0.302,0.323,,-0.422,-0.305,-0.222,-1.337
"Biggio, Cavan",53.8,55.4,83.9,18.1,46.3,44.7,26.3,38.2,23.8,8.2,73.1,118,36.4,27.1,22.0,14.4,33.9,44.9,21.2,8.5,26.3,33.9,22.9,5.9,37.3,955,118,3,2.5,16.9,82.0,21.2,0.179,0.239,0.256,0.293,,-6.283,-1.967,-0.229,-6.361
"Kelenic, Jarred",51.1,69.2,76.7,29.8,41.8,42.5,33.3,49.9,33.4,7.7,80.0,283,35.3,30.0,29.0,5.7,43.5,35.0,21.6,3.5,23.3,27.6,26.9,8.8,38.2,1758,283,28,9.9,45.2,89.8,16.0,0.241,0.412,0.308,0.409,,1.608,0.162,-0.223,2.314
"Ozuna, Marcell",44.1,72.5,77.4,26.5,49.6,40.5,32.0,46.8,31.4,6.6,81.0,440,38.0,31.6,27.3,3.2,46.8,32.0,21.1,3.4,25.2,19.1,25.2,11.4,40.5,2875,440,68,15.5,53.4,92.1,14.4,0.286,0.572,0.402,0.508,,3.518,-0.277,-0.217,5.636
"White, Eli",58.1,66.7,87.1,23.9,43.8,43.8,26.2,48.8,21.8,5.6,77.8,27,59.3,25.9,11.1,3.7,44.4,33.3,22.2,7.4,40.7,18.5,18.5,3.7,25.9,160,27,3,11.1,48.1,88.7,8.3,0.205,0.328,0.263,0.33,,-1.038,-1.272,-0.233,-0.994
"Urshela, Gio",50.1,72.7,83.9,36.4,70.4,41.5,37.0,54.6,20.3,8.1,78.8,365,46.6,19.7,29.0,4.7,31.5,40.8,27.7,3.8,36.4,21.9,26.8,5.2,38.6,1693,365,18,4.9,28.4,86.4,10.5,0.264,0.389,0.302,0.337,,-0.172,-0.264,-0.221,-1.918
"Soler, Jorge",46.4,64.8,82.9,26.8,46.4,40.5,30.0,44.5,28.9,6.4,76.0,356,37.6,30.1,22.5,9.8,41.6,36.2,22.2,4.2,24.7,28.7,22.5,7.3,33.4,2361,356,45,12.6,44.1,90.5,17.9,0.244,0.447,0.346,0.412,,1.306,-0.403,-0.22,2.891
Braves,49.2,71.0,79.9,29.4,54.3,42.6,34.3,49.8,27.5,7.3,79.7,4068,41.6,27.6,23.9,6.8,42.0,34.7,23.3,4.0,29.8,25.7,23.0,7.2,34.2,23955,4068,411,10.1,42.6,89.9,13.8,0.244,0.428,0.323,0.391,,0.982,-0.088,-0.075,1.485
MLB,49.6,67.7,82.2,28.5,55.8,42.9,32.1,48.0,25.3,7.5,77.6,124202,42.7,26.4,23.7,7.1,38.7,36.7,24.6,4.4,30.9,26.0,24.3,6.3,33.8,709511,124202,9716,7.8,38.9,88.8,13.3,0.243,0.397,0.312,0.366,,3.919,8.008,4.58,1.284
