Player,AB,H,2B,3B,HR,BB,,TB,Runs,TeamID
"Cave, Jake",323,81,16,5,7,18,,128,37.0,115
"Tovar, Ezequiel",655,176,45,4,26,23,,307,90.0,115
"Hilliard, Sam",138,33,5,1,10,14,,70,22.0,115
"Rodgers, Brendan",501,134,29,1,13,31,,204,63.0,115
"Beck, Jordan",170,32,6,0,3,12,,47,11.0,115
"McMahon, Ryan",567,137,28,0,20,69,,225,73.0,115
"Jones, Nolan",256,58,13,1,3,36,,82,26.0,115
"Bryant, Kris",133,29,5,0,2,13,,40,12.0,115
"Romo, Drew",51,9,3,0,0,2,,12,2.0,115
"Amador, Adael",35,6,1,0,0,1,,7,1.0,115
"Stallings, Jacob",243,64,17,1,9,27,,110,37.0,115
"Goodman, Hunter",211,40,9,0,13,8,,88,19.0,115
"Jones, Greg",5,1,0,0,1,1,,4,1.0,115
"Toglia, Michael",399,87,14,3,25,54,,182,57.0,115
"Malloy, Justyn-Henry",202,41,7,1,8,23,,74,21.0,116
"Baddoo, Akil",73,10,2,2,2,8,,22,5.0,116
"Vierling, Matt",518,133,28,5,16,41,,219,68.0,116
"Pérez, Wenceel",389,94,16,6,9,32,,149,45.0,116
"McKinstry, Zach",297,64,14,5,4,24,,100,27.0,116
"Madris, Bligh",67,18,3,0,1,6,,24,8.0,116
"Greene, Riley",512,134,27,6,24,64,,245,84.0,116
"Carpenter, Kerry",264,75,16,5,18,22,,155,53.0,116
"Kreidler, Ryan",59,7,0,0,1,6,,10,2.0,116
"Keith, Colt",516,134,15,4,13,36,,196,60.0,116
"Meadows, Parker",270,66,12,6,9,25,,117,36.0,116
"Báez, Javier",272,50,12,0,6,12,,80,17.0,116
"Rogers, Jake",310,61,16,1,10,22,,109,27.0,116
"Torkelson, Spencer",342,75,21,1,10,33,,128,37.0,116
"Dingler, Dillon",84,14,5,2,1,3,,26,5.0,116
"Ibáñez, Andy",224,54,9,1,5,15,,80,23.0,116
"Vilade, Ryan",45,8,0,0,1,2,,11,2.0,116
"Jung, Jace",79,19,5,0,0,15,,24,9.0,116
"Sweeney, Trey",110,24,5,0,4,7,,41,11.0,116
"Gamel, Ben",81,20,4,0,1,18,,27,10.0,117
"Singleton, Jon",355,83,13,1,13,47,,137,44.0,117
"Dezenzo, Zach",62,15,2,0,2,3,,23,6.0,117
"Hummel, Cooper",8,0,0,0,0,0,,0,0.0,117
"León, Pedro",20,2,0,0,0,1,,2,0.0,117
"Whitcomb, Shay",41,9,3,0,0,5,,12,4.0,117
"Tucker, Kyle",277,80,13,0,23,56,,162,66.0,117
"Alvarez, Yordan",552,170,34,2,35,69,,313,120.0,117
"Cabbage, Trey",86,18,8,0,1,4,,29,7.0,117
"Dubón, Mauricio",402,108,25,0,4,16,,145,43.0,117
"Heyward, Jason",228,48,12,2,10,22,,94,26.0,117
"Peña, Jeremy",602,160,28,2,15,25,,237,70.0,117
"McCormick, Chas",242,51,6,1,5,17,,74,19.0,117
"Caratini, Victor",245,66,8,1,8,23,,100,33.0,117
"Diaz, Yainer",585,175,29,3,16,24,,258,84.0,117
"Bregman, Alex",581,151,30,2,26,44,,263,82.0,117
"Kessinger, Grae",21,0,0,0,0,3,,0,0.0,117
"Salazar, César",25,8,2,0,0,2,,10,4.0,117
"Meyers, Jake",461,101,20,3,13,35,,166,46.0,117
"Altuve, Jose",628,185,31,0,20,47,,276,95.0,117
"Gentry, Tyler",5,0,0,0,0,0,,0,0.0,118
"Pasquantino, Vinnie",496,130,30,2,19,40,,221,70.0,118
"Loftin, Nick",148,28,4,0,1,19,,35,10.0,118
"Blanco, Dairon",120,31,4,0,4,8,,47,14.0,118
"Massey, Michael",332,86,17,2,14,15,,149,43.0,118
"Isbel, Kyle",384,88,13,8,8,27,,141,39.0,118
"DeJong, Paul",445,101,17,0,24,23,,190,50.0,118
"Fermin, Freddy",339,92,14,0,6,23,,124,39.0,118
"Pham, Tommy",440,109,20,3,9,35,,162,49.0,118
