Player,Sprint Speed (ft/s),Lg Rank,% Rank,SB,CS,Team,Season
Maikel Garcia,28.5,120,81,18,9,KANSAS-CITY,2022
Bobby Witt Jr.,30.3,3,100,25,7,KANSAS-CITY,2022
Vinnie Pasquantino,25.6,535,15,1,0,KANSAS-CITY,2022
Michael Massey,27.1,352,44,1,0,KANSAS-CITY,2022
Riley Adams,26.7,417,34,0,0,WASHINGTON,2022
Keibert Ruiz,25.3,560,11,0,2,WASHINGTON,2022
Alex Call,28.4,138,78,1,0,WASHINGTON,2022
Luis García Jr.,27.0,363,42,8,4,WASHINGTON,2022
CJ Abrams,29.0,61,90,20,2,WASHINGTON,2022
Seth Brown,27.8,234,63,1,0,OAKLAND,2022
Shea Langeliers,28.7,96,85,4,1,OAKLAND,2022
Ke'Bryan Hayes,27.9,224,64,10,2,PITTSBURGH,2022
Oneil Cruz,29.9,13,98,29,4,PITTSBURGH,2022
Bryan Reynolds,28.2,155,75,3,2,PITTSBURGH,2022
Jack Suwinski,28.6,97,85,5,1,PITTSBURGH,2022
Manny Machado,26.4,455,28,8,2,SAN-DIEGO,2022
Jake Cronenworth,28.2,162,74,2,1,SAN-DIEGO,2022
Luis Campusano,26.1,490,22,0,0,SAN-DIEGO,2022
J.P. Crawford,26.9,381,39,5,1,SEATTLE,2022
Cal Raleigh,26.8,403,36,10,2,SEATTLE,2022
Dylan Moore,28.3,149,76,9,4,SEATTLE,2022
Julio Rodríguez,29.7,16,98,17,4,SEATTLE,2022
Wilmer Flores,25.3,568,10,1,0,SAN-FRANCISCO,2022
Mike Yastrzemski,27.0,366,42,6,2,SAN-FRANCISCO,2022
LaMonte Wade Jr.,25.9,507,19,0,0,SAN-FRANCISCO,2022
Heliot Ramos,27.4,302,52,5,4,SAN-FRANCISCO,2022
David Villar,26.7,411,35,0,0,SAN-FRANCISCO,2022
Nolan Arenado,25.5,549,13,1,0,ST-LOUIS,2022
Lars Nootbaar,28.2,171,73,4,4,ST-LOUIS,2022
Nolan Gorman,27.0,365,42,1,1,ST-LOUIS,2022
Iván Herrera,26.2,470,25,3,0,ST-LOUIS,2022
Alec Burleson,25.3,565,10,4,0,ST-LOUIS,2022
Brendan Donovan,27.2,333,47,3,1,ST-LOUIS,2022
Yandy Díaz,27.1,351,44,3,0,TAMPA-BAY,2022
Brandon Lowe,27.5,287,54,3,1,TAMPA-BAY,2022
Jonathan Aranda,26.0,505,20,0,1,TAMPA-BAY,2022
Josh Lowe,28.9,68,89,6,2,TAMPA-BAY,2022
Taylor Walls,28.8,86,86,11,6,TAMPA-BAY,2022
