Player,Sprint Speed (ft/s),Lg Rank,% Rank,SB,CS,Team
Kody Clemens,27.7,238,61,0,0,PHILADELPHIA
Rafael Marchán,26.1,485,20,0,0,PHILADELPHIA
Brandon Marsh,28.2,157,74,5,1,PHILADELPHIA
Cal Stevenson,27.5,291,52,0,0,PHILADELPHIA
Buddy Kennedy,28.9,67,89,0,0,PHILADELPHIA
Johan Rojas,30.1,2,100,12,2,PHILADELPHIA
Bryson Stott,29.1,53,91,15,3,PHILADELPHIA
DJ LeMahieu,26.1,484,20,0,0,NY-YANKEES
Giancarlo Stanton,24.6,585,4,0,0,NY-YANKEES
Aaron Judge,26.8,389,36,6,3,NY-YANKEES
Trent Grisham,26.9,385,37,0,1,NY-YANKEES
Oswaldo Cabrera,27.4,295,51,0,1,NY-YANKEES
Jazz Chisholm Jr.,28.6,107,83,10,4,NY-YANKEES
Austin Wells,26.7,419,31,3,1,NY-YANKEES
Anthony Volpe,28.6,101,84,10,7,NY-YANKEES
Jasson Domínguez,27.8,220,64,14,2,NY-YANKEES
Ben Rice,27.5,293,52,3,2,NY-YANKEES
