Name,Season,TB,xTB,BB,xBB,AB,xAB,H,xH,SB,xSB,CS,xCS,MB,xMB
Tim Lopes,2019.0,40.0,40.45944864690583,15.0,12.96,111.0,116.12,30.0,25.51977565571908,6.0,6.0,3.0,3.0,14.0,12.0
Whit Merrifield,2019.0,315.0,252.84845201670782,45.0,44.36,681.0,659.62,206.0,157.6327285727043,20.0,20.0,10.0,10.0,108.0,72.0
,,,,,,,,,,,,,,,
Hunter Pence,2019.0,158.0,124.72068460795028,26.0,24.05,286.0,289.15,85.0,70.68493621802449,6.0,6.0,1.0,1.0,57.0,38.0
Jose Altuve,2019.0,275.0,212.66025467789083,41.0,40.55,500.0,494.49,149.0,121.57971897724514,6.0,6.0,5.0,5.0,95.0,63.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Raimel Tapia,2019.0,177.0,149.54721391693568,21.0,19.73,426.0,403.65,117.0,96.62985355241223,9.0,9.0,3.0,3.0,55.0,41.0
Brandon Dixon,2019.0,170.0,158.9074115006577,21.0,25.47,391.0,379.77,97.0,85.26403817978874,5.0,5.0,1.0,1.0,49.0,44.0
,,,,,,,,,,,,,,,
Dee Strange-Gordon,2019.0,141.0,118.68552002982332,18.0,19.64,393.0,377.13,108.0,84.70785765351295,22.0,22.0,5.0,5.0,45.0,33.0
Kevin Newman,2019.0,220.0,170.96949922880816,28.0,28.7,493.0,475.95,152.0,109.72647592803042,16.0,16.0,8.0,8.0,75.0,46.0
Nicky Lopez,2019.0,123.0,122.56442700303242,18.0,24.32,379.0,366.11,91.0,81.19012423606144,1.0,1.0,1.0,1.0,34.0,33.0
Brandon Nimmo,2019.0,81.0,79.26385526003185,46.0,41.07,199.0,213.2,44.0,51.89415014581959,3.0,3.0,0.0,0.0,31.0,30.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Jarrod Dyson,2019.0,128.0,126.93702794182758,47.0,45.27,400.0,391.91,92.0,84.73947290960422,30.0,30.0,4.0,4.0,45.0,42.0
Bo Bichette,2019.0,112.0,83.39165743780833,14.0,13.91,196.0,198.03,61.0,55.52549028321133,4.0,4.0,4.0,4.0,38.0,26.0
Joey Rickard,2019.0,60.0,63.005938234831746,18.0,16.21,168.0,171.37,38.0,41.87802577689253,4.0,4.0,2.0,2.0,18.0,19.0
George Springer,2019.0,283.0,244.63116418995395,67.0,67.93,479.0,489.92,140.0,132.82369284990872,6.0,6.0,2.0,2.0,107.0,88.0
Wil Myers,2019.0,182.0,176.23104294873187,51.0,51.48,435.0,430.61,104.0,101.56543651913506,16.0,16.0,7.0,7.0,58.0,56.0
Dylan Moore,2019.0,96.0,86.92756200285395,25.0,27.67,247.0,248.0,51.0,58.982176255808426,11.0,11.0,9.0,9.0,25.0,26.0
Albert Almora Jr.,2019.0,129.0,123.40600605035304,16.0,15.82,339.0,328.83,80.0,69.68113272607064,2.0,2.0,1.0,1.0,35.0,31.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Stevie Wilkerson,2019.0,126.0,105.90292807207803,22.0,23.73,329.0,330.42,74.0,71.609006794192,3.0,3.0,3.0,3.0,34.0,28.0
Willy Adames,2019.0,222.0,212.70652160823465,46.0,50.33,531.0,520.12,135.0,124.6309967311563,4.0,4.0,2.0,2.0,69.0,65.0
Adam Eaton,2019.0,242.0,237.01356486757976,65.0,63.63,566.0,571.93,158.0,149.51468699652588,15.0,15.0,3.0,3.0,88.0,81.0
,,,,,,,,,,,,,,,
Mike Brosseau,2019.0,61.0,39.361742979736476,7.0,7.45,132.0,133.39,36.0,32.75223302422088,1.0,1.0,0.0,0.0,19.0,11.0
Rosell Herrera,2019.0,33.0,30.83913994094746,11.0,10.87,105.0,105.43,21.0,21.486744338042378,4.0,4.0,1.0,1.0,9.0,9.0
Austin Slater,2019.0,70.0,58.82602210184325,22.0,22.1,168.0,173.71,40.0,39.215238149128595,1.0,1.0,0.0,0.0,23.0,19.0
JaCoby Jones,2019.0,128.0,127.66495150816561,27.0,26.45,298.0,298.45,70.0,74.53601200899521,7.0,7.0,2.0,2.0,39.0,40.0
Cavan Biggio,2019.0,152.0,148.87814168318673,71.0,66.18,354.0,370.89,83.0,97.00958040083889,14.0,14.0,0.0,0.0,59.0,59.0
Bryce Harper,2019.0,292.0,279.8372627636687,99.0,87.88,573.0,578.13,149.0,153.87534390227043,15.0,15.0,3.0,3.0,110.0,104.0
,,,,,,,,,,,,,,,
Charlie Culberson,2019.0,59.0,53.30218399637279,6.0,6.46,135.0,128.94,35.0,25.898304594846763,0.0,0.0,1.0,1.0,17.0,12.0
Hunter Dozier,2019.0,273.0,227.94298047535477,55.0,56.91,523.0,518.2,146.0,127.32663360868432,2.0,2.0,2.0,2.0,94.0,72.0
Jordan Luplow,2019.0,124.0,112.82137973281478,33.0,33.7,225.0,238.13,62.0,63.015545814686575,3.0,3.0,2.0,2.0,45.0,40.0
Steven Duggar,2019.0,89.0,89.71197423043367,16.0,17.86,261.0,256.3,61.0,61.67076377234031,1.0,1.0,4.0,4.0,23.0,25.0
Nick Ahmed,2019.0,243.0,229.91892455035492,52.0,51.08,556.0,542.77,141.0,137.6302211741733,8.0,8.0,2.0,2.0,78.0,74.0
Ben Gamel,2019.0,116.0,107.18736120186722,40.0,40.01,311.0,313.13,77.0,74.24484627709855,2.0,2.0,2.0,2.0,38.0,34.0
Shohei Ohtani,2019.0,194.0,181.897608930798,33.0,33.98,384.0,391.93,110.0,100.88535207189406,12.0,12.0,3.0,3.0,67.0,59.0
Jorge Polanco,2019.0,306.0,264.0084916535651,60.0,63.17,631.0,613.19,186.0,159.07536595208896,4.0,4.0,3.0,3.0,108.0,86.0
,,,,,,,,,,,,,,,
Aaron Judge,2019.0,204.0,201.4083961433255,64.0,63.19,378.0,390.79,103.0,101.3913741625183,3.0,3.0,2.0,2.0,77.0,73.0
,,,,,,,,,,,,,,,
Yasiel Puig,2019.0,254.0,237.41315502644244,44.0,44.72,555.0,538.88,148.0,133.5182304088513,19.0,19.0,7.0,7.0,82.0,73.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Guillermo Heredia,2019.0,74.0,65.16604834562068,18.0,19.63,204.0,205.76,46.0,52.035422302061114,2.0,2.0,2.0,2.0,21.0,20.0
Kris Bryant,2019.0,283.0,225.83218690228537,74.0,68.87,543.0,538.51,153.0,131.98461054298582,4.0,4.0,0.0,0.0,105.0,76.0
Austin Meadows,2019.0,296.0,253.5720652263457,54.0,59.18,530.0,538.8,154.0,138.480705562831,12.0,12.0,7.0,7.0,104.0,83.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Jace Peterson,2019.0,33.0,37.203359804681895,6.0,7.81,100.0,101.22,22.0,19.397941145499615,4.0,4.0,1.0,1.0,9.0,10.0
,,,,,,,,,,,,,,,
Chris Owings,2019.0,42.0,54.94704166129833,14.0,14.09,180.0,172.73,25.0,28.96226104100277,5.0,5.0,2.0,2.0,9.0,13.0
David Dahl,2019.0,196.0,160.6927371195871,28.0,26.87,374.0,371.26,113.0,94.12718259455691,4.0,4.0,4.0,4.0,67.0,48.0
,,,,,,,,,,,,,,,
Marcus Semien,2019.0,343.0,304.06932664295357,87.0,84.52,657.0,647.84,187.0,179.13404574881474,10.0,10.0,8.0,8.0,124.0,107.0
,,,,,,,,,,,,,,,
Randal Grichuk,2019.0,268.0,239.9785578985585,35.0,39.35,586.0,561.77,136.0,138.38129549382518,2.0,2.0,1.0,1.0,74.0,71.0
Bryan Reynolds,2019.0,247.0,210.38676063495456,46.0,46.94,491.0,492.01,154.0,129.04846353189762,3.0,3.0,2.0,2.0,92.0,68.0
Josh Rojas,2019.0,43.0,43.018643701874,18.0,16.51,138.0,143.29,30.0,36.532690495817015,4.0,4.0,2.0,2.0,13.0,14.0
Pablo Reyes,2019.0,46.0,50.25695746600124,13.0,13.32,143.0,142.15,29.0,31.57190071249466,1.0,1.0,1.0,1.0,12.0,14.0
,,,,,,,,,,,,,,,
Matt Chapman,2019.0,295.0,292.45605316738636,73.0,75.15,583.0,584.74,145.0,165.53224713496832,1.0,1.0,1.0,1.0,98.0,106.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Xander Bogaerts,2019.0,341.0,295.0426825151294,76.0,75.29,614.0,608.03,190.0,169.76823197015375,4.0,4.0,2.0,2.0,131.0,106.0
Luis Rengifo,2019.0,130.0,136.4539145776908,40.0,40.51,357.0,359.4,85.0,82.25025467311909,2.0,2.0,5.0,5.0,39.0,40.0
Isiah Kiner-Falefa,2019.0,65.0,57.73762734652192,14.0,15.48,202.0,195.21,48.0,48.93451573063089,3.0,3.0,0.0,0.0,19.0,18.0
Michael Chavis,2019.0,154.0,136.7918081566754,31.0,30.63,347.0,335.34,88.0,68.52120443318319,2.0,2.0,1.0,1.0,48.0,37.0
,,,,,,,,,,,,,,,
Kevin Pillar,2019.0,264.0,232.69883745309068,18.0,20.02,611.0,567.85,158.0,134.90331937416977,14.0,14.0,5.0,5.0,74.0,61.0
Rougned Odor,2019.0,229.0,236.14183760840325,52.0,55.01,522.0,520.99,107.0,132.36910108308683,11.0,11.0,9.0,9.0,61.0,74.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Juan Lagares,2019.0,84.0,84.45237105056475,22.0,21.39,258.0,255.63,55.0,59.475223248971886,4.0,4.0,1.0,1.0,23.0,25.0
,,,,,,,,,,,,,,,
Mookie Betts,2019.0,313.0,319.6451492881928,97.0,100.87,597.0,602.53,176.0,187.00409113528087,16.0,16.0,3.0,3.0,126.0,133.0
Brian Goodwin,2019.0,194.0,154.39798705060153,38.0,41.62,413.0,412.28,108.0,92.33440243002924,7.0,7.0,3.0,3.0,63.0,46.0
Ketel Marte,2019.0,337.0,272.1036503865315,53.0,56.03,569.0,561.03,187.0,151.79193194104027,10.0,10.0,2.0,2.0,131.0,93.0
Mike Freeman,2019.0,69.0,55.28470426425385,22.0,21.25,177.0,179.06,49.0,41.013111843633126,1.0,1.0,2.0,2.0,24.0,17.0
Nick Castellanos,2019.0,323.0,275.4181376651825,41.0,40.96,615.0,607.74,178.0,153.76885675559015,2.0,2.0,2.0,2.0,107.0,82.0
Mike Tauchman,2019.0,131.0,106.08644504301822,34.0,34.47,260.0,273.42,72.0,71.64037960943905,6.0,6.0,0.0,0.0,49.0,38.0
,,,,,,,,,,,,,,,
Jonathan Villar,2019.0,291.0,260.6160092367104,61.0,61.88,642.0,619.58,176.0,155.6319332402814,40.0,40.0,9.0,9.0,102.0,87.0
Lorenzo Cain,2019.0,209.0,247.00002568454983,50.0,54.2,562.0,575.27,146.0,155.15493749514164,18.0,18.0,8.0,8.0,67.0,82.0
Wilmer Difo,2019.0,41.0,42.00721207753827,12.0,11.31,131.0,130.1,33.0,35.23588178746484,0.0,0.0,1.0,1.0,13.0,13.0
,,,,,,,,,,,,,,,
Adam Haseley,2019.0,88.0,75.76788813094885,14.0,14.54,222.0,219.03,59.0,51.454868428126964,4.0,4.0,0.0,0.0,28.0,22.0
,,,,,,,,,,,,,,,
Mac Williamson,2019.0,33.0,31.748280948911145,14.0,12.8,128.0,130.72,20.0,22.213687295506062,2.0,2.0,1.0,1.0,8.0,8.0
Ian Happ,2019.0,79.0,78.3822992311067,15.0,13.85,140.0,142.4,37.0,32.65726425725364,2.0,2.0,0.0,0.0,27.0,24.0
Austin Riley,2019.0,129.0,114.62887650469936,16.0,16.28,274.0,265.79,62.0,59.154360844557885,0.0,0.0,2.0,2.0,34.0,30.0
,,,,,,,,,,,,,,,
Didi Gregorius,2019.0,143.0,138.8957892751697,17.0,17.2,324.0,317.82,77.0,86.22078225972122,2.0,2.0,1.0,1.0,39.0,43.0
Willson Contreras,2019.0,192.0,159.89876950679576,38.0,34.92,360.0,359.64,98.0,86.34190444801001,1.0,1.0,2.0,2.0,65.0,48.0
Danny Santana,2019.0,253.0,195.5425742871232,25.0,26.85,474.0,463.09,134.0,112.37819795754112,21.0,21.0,6.0,6.0,81.0,56.0
,,,,,,,,,,,,,,,
Dexter Fowler,2019.0,199.0,190.28533921894152,74.0,68.4,487.0,501.21,116.0,114.75103097555098,8.0,8.0,5.0,5.0,67.0,61.0
,,,,,,,,,,,,,,,
Max Kepler,2019.0,272.0,244.66520640945146,60.0,57.89,524.0,522.51,132.0,141.48710826073227,1.0,1.0,5.0,5.0,87.0,81.0
,,,,,,,,,,,,,,,
Austin Dean,2019.0,72.0,62.347041361453236,9.0,10.68,178.0,175.03,40.0,39.60347075627892,0.0,0.0,2.0,2.0,18.0,16.0
Shed Long Jr.,2019.0,69.0,55.78198284919263,16.0,16.07,152.0,150.33,40.0,37.25368358950036,3.0,3.0,3.0,3.0,22.0,17.0
Addison Russell,2019.0,84.0,83.32485552514024,20.0,18.75,215.0,213.48,51.0,44.462579142753846,2.0,2.0,0.0,0.0,26.0,23.0
,,,,,,,,,,,,,,,
Max Muncy,2019.0,251.0,231.06618389939104,90.0,90.36,487.0,515.27,122.0,136.8053717738868,4.0,4.0,1.0,1.0,93.0,87.0
