Player,AB,H,2B,3B,HR,BB,,TB,Runs,Season
Henry Davis,104,15,4,0,1,13,,22,5.0,2024
Joshua Palacios,67,15,2,0,2,10,,23,7.0,2024
Connor Joe,364,83,22,1,9,44,,134,42.0,2024
Jared Triolo,394,85,10,1,9,42,,124,36.0,2024
Bryan Reynolds,622,171,29,3,24,57,,278,93.0,2024
Andrew McCutchen,448,104,18,1,20,58,,184,59.0,2024
Liover Peguero,10,2,1,0,0,0,,3,1.0,2024
Ke'Bryan Hayes,365,85,9,0,4,23,,106,30.0,2024
Jason Delay,15,3,3,0,0,3,,6,2.0,2024
Billy Cook,49,11,2,0,3,0,,22,5.0,2024
Ji Hwan Bae,74,14,2,0,0,6,,16,4.0,2024
Alika Williams,87,18,4,2,0,3,,26,6.0,2024
Jack Suwinski,247,45,8,0,9,27,,80,21.0,2024
Yasmani Grandal,215,49,10,0,9,24,,86,26.0,2024
Joey Bart,253,67,11,0,13,22,,117,38.0,2024
Nick Gonzales,359,97,19,3,7,18,,143,44.0,2024
Bryan De La Cruz,584,136,25,0,21,29,,224,60.0,2024
Mitch Garver,367,63,17,0,15,53,,125,35.0,2024
Dominic Canzone,168,33,7,0,8,18,,64,18.0,2024
Julio Rodríguez,567,155,17,0,20,38,,232,74.0,2024
Mitch Haniger,380,79,12,0,12,40,,127,36.0,2024
Tyler Locklear,45,7,1,0,2,3,,14,3.0,2024
Victor Robles,254,78,20,0,4,21,,110,40.0,2024
J.P. Crawford,392,79,16,2,9,52,,126,37.0,2024
Samad Taylor,5,2,0,0,0,0,,2,1.0,2024
Luke Raley,404,98,19,2,22,27,,187,54.0,2024
Cade Marlowe,8,2,0,0,0,1,,2,1.0,2024
Sam Haggerty,15,1,0,0,0,1,,1,0.0,2024
Ryan Bliss,63,14,3,1,2,5,,25,7.0,2024
Leo Rivas,73,17,1,1,0,10,,20,7.0,2024
Luis Urías,94,18,7,0,4,9,,37,10.0,2024
Dylan Moore,368,74,23,4,10,53,,135,41.0,2024
Jorge Polanco,416,89,11,0,16,46,,148,43.0,2024
Josh Rojas,422,95,19,2,8,46,,142,43.0,2024
Justin Turner,460,119,24,0,11,59,,176,60.0,2024
Cal Raleigh,546,120,16,0,34,70,,238,73.0,2024
Randy Arozarena,549,120,33,0,20,73,,213,66.0,2024
Mark Canha,393,95,20,0,7,51,,136,45.0,2024
Michael Conforto,438,104,27,3,20,42,,197,60.0,2024
Donovan Walton,22,3,0,0,1,2,,6,1.0,2024
Tyler Fitzgerald,314,88,19,2,15,22,,156,51.0,2024
Casey Schmitt,107,27,4,1,6,4,,51,14.0,2024
Curt Casali,108,21,3,0,1,13,,27,8.0,2024
Blake Sabol,32,10,2,0,0,5,,12,5.0,2024
David Villar,35,9,4,0,1,1,,16,4.0,2024
Tom Murphy,34,4,1,0,1,4,,8,2.0,2024
Marco Luciano,76,16,5,1,0,5,,23,6.0,2024
Grant McCray,124,25,3,2,5,6,,47,11.0,2024
Jerar Encarnacion,113,28,5,0,5,5,,48,13.0,2024
Luis Matos,150,32,5,0,5,5,,52,12.0,2024
Jung Hoo Lee,145,38,4,0,2,10,,48,15.0,2024
Wilmer Flores,214,44,12,0,4,20,,68,19.0,2024
Brett Wisely,252,60,13,1,4,13,,87,24.0,2024
LaMonte Wade Jr.,331,86,16,0,8,62,,126,47.0,2024
Mike Yastrzemski,428,99,16,9,18,38,,187,55.0,2024
Patrick Bailey,401,94,16,1,8,39,,136,41.0,2024
Heliot Ramos,475,128,23,3,22,37,,223,72.0,2024
Matt Chapman,575,142,39,2,27,64,,266,86.0,2024
Luken Baker,40,7,1,1,2,7,,16,5.0,2024
Nolan Gorman,365,74,15,0,19,34,,146,40.0,2024
Michael Siani,298,68,7,2,2,21,,85,24.0,2024
Iván Herrera,229,69,12,1,5,25,,98,36.0,2024
Victor Scott II,145,26,9,0,2,6,,41,9.0,2024
Nolan Arenado,578,157,23,0,16,44,,228,74.0,2024
Masyn Winn,587,157,32,5,15,41,,244,77.0,2024
Thomas Saggese,49,10,2,0,1,2,,15,4.0,2024
José Fermín,71,11,1,1,0,7,,14,3.0,2024
Matt Carpenter,137,32,7,0,4,15,,51,16.0,2024
Jordan Walker,164,33,10,1,5,10,,60,15.0,2024
Pedro Pagés,202,48,3,2,7,13,,76,22.0,2024
Willson Contreras,301,79,17,0,15,45,,141,51.0,2024
Lars Nootbaar,348,85,18,3,12,52,,145,50.0,2024
Paul Goldschmidt,599,147,33,1,22,47,,248,74.0,2024
Alec Burleson,547,147,20,0,21,35,,230,72.0,2024
Brendan Donovan,587,163,34,3,14,47,,245,81.0,2024
Junior Caminero,165,41,9,1,6,11,,70,21.0,2024
Josh Lowe,353,85,19,2,10,32,,138,42.0,2024
Ben Rortvedt,290,66,13,0,3,34,,88,27.0,2024
Richie Palacios,264,59,8,1,5,45,,84,28.0,2024
Taylor Walls,218,40,5,3,1,31,,54,15.0,2024
José Caballero,441,100,24,1,9,27,,153,42.0,2024
Logan Driscoll,35,6,0,0,1,1,,9,2.0,2024
Jonathan Aranda,128,30,7,0,6,12,,55,16.0,2024
Jose Siri,402,75,16,1,18,31,,147,36.0,2024
Kameron Misner,15,1,0,0,0,0,,1,0.0,2024
Austin Shenton,42,9,5,0,1,8,,17,6.0,2024
Christopher Morel,535,105,11,3,21,61,,185,52.0,2024
Jonny DeLuca,332,72,12,4,6,24,,110,30.0,2024
René Pinto,42,9,3,0,2,4,,18,5.0,2024
Curtis Mead,122,29,3,0,1,6,,35,10.0,2024
Dylan Carlson,235,49,7,0,3,22,,65,18.0,2024
Brandon Lowe,385,94,19,3,21,33,,182,55.0,2024
Yandy Díaz,563,158,31,1,14,50,,233,79.0,2024
Justin Foscue,42,2,1,0,0,2,,3,0.0,2024
Matt Duffy,7,2,0,0,0,2,,2,1.0,2024
Carson Kelly,281,67,9,1,9,25,,105,32.0,2024
Corey Seager,475,132,21,0,30,53,,243,85.0,2024
Josh Smith,523,135,30,1,13,46,,206,66.0,2024
Wyatt Langford,499,126,25,4,16,51,,207,67.0,2024
Ezequiel Duran,268,66,11,0,3,14,,86,24.0,2024
Josh Jung,178,47,5,1,7,8,,75,22.0,2024
Nathaniel Lowe,486,129,16,1,16,71,,195,70.0,2024
Sam Huff,3,0,0,0,0,1,,0,0.0,2024
Dustin Harris,6,2,1,0,1,1,,6,3.0,2024
Sandro Fabian,5,0,0,0,0,0,,0,0.0,2024
Jonathan Ornelas,37,8,2,0,0,2,,10,3.0,2024
Evan Carter,144,27,6,2,5,15,,52,14.0,2024
Travis Jankowski,190,38,5,0,1,12,,46,11.0,2024
Jonah Heim,459,101,12,1,13,26,,154,40.0,2024
Leody Taveras,480,110,17,3,12,42,,169,49.0,2024
Adolis García,580,130,27,0,25,45,,232,65.0,2024
Marcus Semien,650,154,27,2,23,64,,254,78.0,2024
Ernie Clement,434,114,21,3,12,11,,177,50.0,2024
Nathan Lukes,76,23,4,2,1,10,,34,13.0,2024
Will Wagner,82,25,6,0,2,4,,37,12.0,2024
Orelvis Martinez,3,1,0,0,0,0,,1,0.0,2024
Leo Jiménez,179,41,11,0,4,12,,64,18.0,2024
Tyler Heineman,12,1,0,0,0,3,,1,0.0,2024
Joey Loperfido,243,52,13,4,4,13,,85,22.0,2024
Jonatan Clase,61,15,2,0,1,3,,20,6.0,2024
Steward Berroa,37,7,1,0,0,8,,8,3.0,2024
Alejandro Kirk,340,86,19,1,5,35,,122,39.0,2024
Luis De Los Santos,29,5,2,0,0,2,,7,2.0,2024
Addison Barger,208,41,11,0,7,14,,73,18.0,2024
Bo Bichette,311,70,16,1,4,20,,100,27.0,2024
Davis Schneider,397,76,19,1,13,47,,136,38.0,2024
Spencer Horwitz,328,87,19,0,12,42,,142,50.0,2024
Daulton Varsho,459,98,21,7,18,48,,187,54.0,2024
George Springer,545,120,19,3,19,60,,202,60.0,2024
Vladimir Guerrero Jr.,616,199,44,1,30,72,,335,132.0,2024
Jose Miranda,401,114,28,4,9,18,,177,56.0,2024
Brooks Lee,172,38,6,1,3,11,,55,15.0,2024
Byron Buxton,355,99,27,3,18,20,,186,59.0,2024
Michael Helman,10,3,2,0,0,0,,5,2.0,2024
Matt Wallner,220,57,17,1,13,24,,115,38.0,2024
Max Kepler,368,93,21,1,8,22,,140,41.0,2024
Kyle Farmer,215,46,13,1,5,19,,76,21.0,2024
Royce Lewis,292,68,16,0,16,28,,132,40.0,2024
Christian Vázquez,294,65,10,0,7,11,,96,24.0,2024
Manuel Margot,315,75,17,1,4,21,,106,30.0,2024
Jair Camargo,6,0,0,0,0,1,,0,0.0,2024
DaShawn Keirsey Jr.,13,2,0,0,1,0,,5,1.0,2024
Alex Kirilloff,159,32,8,3,5,15,,61,16.0,2024
Edouard Julien,266,53,9,0,8,33,,86,25.0,2024
Austin Martin,233,59,18,1,1,20,,82,26.0,2024
Carlos Correa,319,99,20,2,14,40,,165,64.0,2024
Trevor Larnach,355,92,17,0,15,40,,154,51.0,2024
Ryan Jeffers,412,93,22,0,21,32,,178,50.0,2024
Willi Castro,558,138,31,5,12,51,,215,67.0,2024
Carlos Santana,521,124,26,0,23,65,,219,71.0,2024
Alec Bohm,554,155,44,2,15,40,,248,81.0,2024
Edmundo Sosa,249,64,12,4,7,13,,105,31.0,2024
Kody Clemens,114,25,9,1,5,5,,51,13.0,2024
Nick Castellanos,606,154,30,4,23,41,,261,79.0,2024
Bryson Stott,506,124,19,2,11,53,,180,57.0,2024
Bryce Harper,550,157,42,0,30,76,,289,108.0,2024
Johan Rojas,338,82,12,3,3,13,,109,30.0,2024
Weston Wilson,88,25,7,1,3,8,,43,15.0,2024
Austin Hays,235,60,18,0,5,9,,93,26.0,2024
Buddy Kennedy,21,4,1,0,1,4,,8,3.0,2024
Cal Stevenson,24,6,3,0,0,3,,9,3.0,2024
Rafael Marchán,51,15,4,0,3,3,,28,9.0,2024
Garrett Stubbs,164,34,4,1,1,17,,43,12.0,2024
Brandon Marsh,418,104,17,3,16,50,,175,58.0,2024
J.T. Realmuto,380,101,18,1,14,27,,163,51.0,2024
Kyle Schwarber,573,142,22,0,38,106,,278,102.0,2024
Trea Turner,505,149,25,0,21,27,,237,78.0,2024
Nacho Alvarez Jr.,30,3,0,0,0,0,,3,0.0,2024
Whit Merrifield,293,65,9,3,4,35,,92,28.0,2024
Chadwick Tromp,52,13,6,0,0,1,,19,5.0,2024
Gio Urshela,432,108,19,1,9,23,,156,45.0,2024
Eli White,39,11,1,1,1,1,,17,5.0,2024
Marcell Ozuna,606,183,31,0,39,74,,331,125.0,2024
Matt Olson,600,148,37,1,29,71,,274,89.0,2024
Ronald Acuña Jr.,192,48,8,1,4,27,,70,24.0,2024
Travis d'Arnaud,307,73,16,0,15,24,,134,39.0,2024
Sean Murphy,233,45,5,1,10,27,,82,23.0,2024
Luke Williams,46,9,3,0,0,4,,12,3.0,2024
Cavan Biggio,188,37,5,0,5,24,,57,16.0,2024
Ramón Laureano,286,74,16,1,11,15,,125,37.0,2024
Adam Duvall,303,55,10,0,11,21,,98,23.0,2024
Jarred Kelenic,412,95,18,2,15,32,,162,46.0,2024
Austin Riley,425,109,26,2,19,37,,196,62.0,2024
Ozzie Albies,399,100,29,1,10,27,,161,48.0,2024
Michael Harris II,440,116,14,3,16,23,,184,55.0,2024
Jorge Soler,493,119,34,1,21,68,,218,73.0,2024
Orlando Arcia,551,120,24,0,17,41,,195,53.0,2024
Nicky Lopez,398,96,12,3,1,37,,117,36.0,2024
Luis Robert Jr.,393,88,19,0,14,28,,149,41.0,2024
Korey Lee,377,79,14,1,12,17,,131,32.0,2024
Lenyn Sosa,351,89,13,0,8,12,,126,35.0,2024
Yoán Moncada,40,11,3,1,0,5,,16,6.0,2024
Brooks Baldwin,114,24,6,0,2,6,,36,9.0,2024
Braden Shewmake,64,8,2,0,1,1,,13,2.0,2024
Gavin Sheets,451,105,24,1,10,43,,161,48.0,2024
Miguel Vargas,206,31,7,0,5,25,,53,13.0,2024
Chuckie Robinson,70,9,0,0,0,5,,9,2.0,2024
Oscar Colás,33,9,0,0,0,4,,9,3.0,2024
Jacob Amaya,68,12,1,0,0,4,,13,3.0,2024
Bryan Ramos,99,20,4,0,3,7,,33,8.0,2024
Corey Julks,173,37,7,0,3,15,,53,15.0,2024
Dominic Fletcher,223,46,8,0,1,11,,57,14.0,2024
Andrew Benintendi,477,109,20,0,20,41,,189,55.0,2024
Andrew Vaughn,570,140,30,1,19,38,,229,67.0,2024
Vidal Bruján,248,55,14,2,2,25,,79,23.0,2024
Graham Pauley,32,4,0,0,2,0,,10,1.0,2024
Dane Myers,95,25,6,1,3,8,,42,13.0,2024
David Hensley,52,11,1,0,1,6,,15,4.0,2024
Otto Lopez,403,109,23,1,6,25,,152,48.0,2024
Jonah Bride,232,64,10,0,11,30,,107,38.0,2024
Javier Sanoja,35,8,2,0,0,1,,10,2.0,2024
Griffin Conine,82,22,4,1,3,6,,37,12.0,2024
Jesús Sánchez,489,123,25,1,18,41,,204,63.0,2024
Jhonny Pereda,39,9,0,0,0,0,,9,2.0,2024
Derek Hill,162,39,4,2,7,5,,68,18.0,2024
Connor Norby,178,42,9,0,9,15,,78,23.0,2024
Kyle Stowers,192,40,11,2,3,13,,64,17.0,2024
Xavier Edwards,265,87,12,5,1,33,,112,45.0,2024
Nick Fortes,308,70,16,0,4,11,,98,25.0,2024
Jake Burger,535,134,23,1,29,31,,246,72.0,2024
Ben Rice,152,26,6,0,7,20,,53,14.0,2024
Duke Ellis,5,1,0,0,0,0,,1,0.0,2024
Gleyber Torres,587,151,26,0,15,65,,222,74.0,2024
Giancarlo Stanton,417,97,20,0,27,38,,198,59.0,2024
Juan Soto,576,166,31,4,41,129,,328,137.0,2024
Jose Trevino,209,45,5,0,8,20,,74,21.0,2024
Anthony Volpe,637,155,27,7,12,42,,232,67.0,2024
Jazz Chisholm Jr.,562,144,21,4,24,53,,245,78.0,2024
Anthony Rizzo,337,77,12,0,8,27,,113,32.0,2024
Austin Wells,354,81,18,1,13,47,,140,45.0,2024
DJ LeMahieu,201,41,5,0,2,19,,52,14.0,2024
Oswald Peraza,10,2,0,0,1,1,,5,1.0,2024
Carlos Narváez,13,3,0,0,0,2,,3,1.0,2024
Jasson Domínguez,56,10,1,0,2,11,,17,5.0,2024
Jon Berti,66,18,0,0,1,6,,21,7.0,2024
Trent Grisham,179,34,8,0,9,22,,69,19.0,2024
Oswaldo Cabrera,299,74,11,0,8,21,,109,32.0,2024
Aaron Judge,559,180,36,1,58,133,,392,177.0,2024
Alex Verdugo,559,130,28,1,13,49,,199,59.0,2024
Sal Frelick,475,123,22,4,2,39,,159,50.0,2024
William Contreras,595,167,37,2,23,78,,277,101.0,2024
Christian Yelich,270,85,12,3,11,40,,136,55.0,2024
Eric Haase,66,18,1,0,5,3,,34,10.0,2024
Vinny Capra,9,1,1,0,0,0,,2,0.0,2024
Blake Perkins,383,92,13,2,6,42,,127,40.0,2024
Garrett Mitchell,196,50,12,3,8,25,,92,31.0,2024
Brewer Hicklen,5,0,0,0,0,0,,0,0.0,2024
Rhys Hoskins,449,96,14,0,26,53,,188,56.0,2024
Isaac Collins,17,2,0,0,0,2,,2,0.0,2024
Tyler Black,49,10,2,0,0,7,,12,4.0,2024
Oliver Dunn,95,21,2,2,1,6,,30,8.0,2024
Andruw Monasterio,125,26,5,0,1,16,,34,10.0,2024
Gary Sánchez,245,54,7,1,11,27,,96,29.0,2024
Jake Bauers,302,60,9,2,12,39,,109,32.0,2024
Joey Ortiz,440,105,25,6,11,56,,175,57.0,2024
Jackson Chourio,528,145,29,4,21,39,,245,80.0,2024
Willy Adames,610,153,33,0,32,74,,282,94.0,2024
Brice Turang,559,142,24,4,7,50,,195,61.0,2024
